attempt_id,phase,contrast_id,block_index,retry_index,template,position_index,label,algorithm,n,pattern,seed,block_size,workers,status,invalid_reason,external_interruption,returncode,timed_out,position_ns,input_checksum,output_checksum,executable_sha256_before,executable_sha256_after,attempt_directory
pilot-ref_linear_n64-b01-r0-p1-A,pilot,ref_linear_n64,1,0,ABBA,1,A,linear,64,mixed,2026082901,1,1,VALID,,False,0,False,83,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b01-r0-p1-A
pilot-ref_linear_n64-b01-r0-p2-B,pilot,ref_linear_n64,1,0,ABBA,2,B,reference,64,mixed,2026082901,1,1,VALID,,False,0,False,416,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b01-r0-p2-B
pilot-ref_linear_n64-b01-r0-p3-B,pilot,ref_linear_n64,1,0,ABBA,3,B,reference,64,mixed,2026082901,1,1,VALID,,False,0,False,417,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b01-r0-p3-B
pilot-ref_linear_n64-b01-r0-p4-A,pilot,ref_linear_n64,1,0,ABBA,4,A,linear,64,mixed,2026082901,1,1,VALID,,False,0,False,83,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b01-r0-p4-A
pilot-ref_linear_n64-b02-r0-p1-B,pilot,ref_linear_n64,2,0,BAAB,1,B,reference,64,mixed,2026082901,1,1,VALID,,False,0,False,500,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b02-r0-p1-B
pilot-ref_linear_n64-b02-r0-p2-A,pilot,ref_linear_n64,2,0,BAAB,2,A,linear,64,mixed,2026082901,1,1,VALID,,False,0,False,83,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b02-r0-p2-A
pilot-ref_linear_n64-b02-r0-p3-A,pilot,ref_linear_n64,2,0,BAAB,3,A,linear,64,mixed,2026082901,1,1,VALID,,False,0,False,83,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b02-r0-p3-A
pilot-ref_linear_n64-b02-r0-p4-B,pilot,ref_linear_n64,2,0,BAAB,4,B,reference,64,mixed,2026082901,1,1,VALID,,False,0,False,459,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b02-r0-p4-B
pilot-ref_linear_n64-b03-r0-p1-B,pilot,ref_linear_n64,3,0,BAAB,1,B,reference,64,mixed,2026082901,1,1,VALID,,False,0,False,417,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b03-r0-p1-B
pilot-ref_linear_n64-b03-r0-p2-A,pilot,ref_linear_n64,3,0,BAAB,2,A,linear,64,mixed,2026082901,1,1,VALID,,False,0,False,83,71fbefaa1dbb8cb1,99ee45b7b2d0ab69,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,0144d4ef720e2f721643a00f3b5d4775b65d753c34781efe6c1e7b714d9dd4a9,raw/attempts/pilot-ref_linear_n64-b03-r0-p2-A
