phase,contrast_id,block_index,retry_index,template,status,invalid_reason,attempt_ids,a_mean_log_ns,b_mean_log_ns,log_contrast,ratio
pilot,ref_linear_n64,1,0,ABBA,VALID,,pilot-ref_linear_n64-b01-r0-p1-A;pilot-ref_linear_n64-b01-r0-p2-B;pilot-ref_linear_n64-b01-r0-p3-B;pilot-ref_linear_n64-b01-r0-p4-A,4.418840607796598,6.031885741030033,1.6130451332334346,5.018068673251132
pilot,ref_linear_n64,2,0,BAAB,VALID,,pilot-ref_linear_n64-b02-r0-p1-B;pilot-ref_linear_n64-b02-r0-p2-A;pilot-ref_linear_n64-b02-r0-p3-A;pilot-ref_linear_n64-b02-r0-p4-B,4.418840607796598,6.171829154241369,1.7529885464447705,5.771826297351077
pilot,ref_linear_n64,3,0,BAAB,VALID,,pilot-ref_linear_n64-b03-r0-p1-B;pilot-ref_linear_n64-b03-r0-p2-A;pilot-ref_linear_n64-b03-r0-p3-A;pilot-ref_linear_n64-b03-r0-p4-B,4.418840607796598,6.079977702956493,1.6611370951598952,5.265294582747693
pilot,ref_linear_n64,4,0,ABBA,VALID,,pilot-ref_linear_n64-b04-r0-p1-A;pilot-ref_linear_n64-b04-r0-p2-B;pilot-ref_linear_n64-b04-r0-p3-B;pilot-ref_linear_n64-b04-r0-p4-A,4.084243208563341,6.081068215929673,1.9968250073663327,7.365633103841666
pilot,ref_linear_n512,1,0,BAAB,VALID,,pilot-ref_linear_n512-b01-r0-p1-B;pilot-ref_linear_n512-b01-r0-p2-A;pilot-ref_linear_n512-b01-r0-p3-A;pilot-ref_linear_n512-b01-r0-p4-B,6.182338837853406,9.3891006651174,3.2067618272639944,24.698977036846408
pilot,ref_linear_n512,2,0,ABBA,VALID,,pilot-ref_linear_n512-b02-r0-p1-A;pilot-ref_linear_n512-b02-r0-p2-B;pilot-ref_linear_n512-b02-r0-p3-B;pilot-ref_linear_n512-b02-r0-p4-A,5.926926025970411,9.367925910161624,3.4409998841912133,31.218157109818875
pilot,ref_linear_n512,3,0,ABBA,VALID,,pilot-ref_linear_n512-b03-r0-p1-A;pilot-ref_linear_n512-b03-r0-p2-B;pilot-ref_linear_n512-b03-r0-p3-B;pilot-ref_linear_n512-b03-r0-p4-A,6.86484777797086,9.375128018478431,2.510280240507571,12.308378883583588
pilot,ref_linear_n512,4,0,BAAB,VALID,,pilot-ref_linear_n512-b04-r0-p1-B;pilot-ref_linear_n512-b04-r0-p2-A;pilot-ref_linear_n512-b04-r0-p3-A;pilot-ref_linear_n512-b04-r0-p4-B,5.800124646570952,9.378590775796997,3.5784661292260456,35.81855765053848
pilot,ref_linear_n4096,1,0,BAAB,VALID,,pilot-ref_linear_n4096-b01-r0-p1-B;pilot-ref_linear_n4096-b01-r0-p2-A;pilot-ref_linear_n4096-b01-r0-p3-A;pilot-ref_linear_n4096-b01-r0-p4-B,7.590290641316269,13.405991496866688,5.8157008555504195,335.5264717053118
pilot,ref_linear_n4096,2,0,ABBA,VALID,,pilot-ref_linear_n4096-b02-r0-p1-A;pilot-ref_linear_n4096-b02-r0-p2-B;pilot-ref_linear_n4096-b02-r0-p3-B;pilot-ref_linear_n4096-b02-r0-p4-A,7.611048811175964,13.567504824159,5.956456012983036,386.2388702781835
pilot,ref_linear_n4096,3,0,BAAB,VALID,,pilot-ref_linear_n4096-b03-r0-p1-B;pilot-ref_linear_n4096-b03-r0-p2-A;pilot-ref_linear_n4096-b03-r0-p3-A;pilot-ref_linear_n4096-b03-r0-p4-B,8.118489041029003,13.406639325409579,5.288150284380576,197.97688557912403
pilot,ref_linear_n4096,4,0,ABBA,VALID,,pilot-ref_linear_n4096-b04-r0-p1-A;pilot-ref_linear_n4096-b04-r0-p2-B;pilot-ref_linear_n4096-b04-r0-p3-B;pilot-ref_linear_n4096-b04-r0-p4-A,8.125350807753172,13.4266506067659,5.301299799012728,200.5973768682203
